"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"6.210.602,39";"4.979.432,78";"5.237.720,79";"150.804,80";
"02/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.394.064,11";"1.875.435,46";"1.728.515,54";"2.698.406,80";
"08/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.602.428,53";"5.084.851,58";"5.097.101,51";"20.220,75";
"06/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"2.380.195,37";"3.749.141,22";"3.556.267,61";"3.033.102,93";
"10/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"5.871.984,05";"4.762.905,92";"4.733.675,29";"108.943,11";
"09/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"1.575.369,45";"3.853.415,18";"3.857.767,44";"0,00";
"03/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"4.813.615,46";"4.684.642,46";"4.621.677,24";"1.406.650,19";
"01/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"6.518.581,95";"1.391.616,64";"435.287,00";"4.194.263,05";
"11/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"4.959.775,09";"4.009.679,10";"3.688.335,15";"454,21";
"12/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 1.819.563,38";"5.460.789,61";"5.059.350,18";"403.888,70";
"04/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"8.199.640,98";"5.823.303,53";"5.881.773,63";"147.302,72";
"05/2022";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"21.998.321,19";"7.209.528,32";"7.261.639,88";"188.843,77";
"01/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"9.807.267,88";"962.128,12";"476.642,08";"731.094,05";
"06/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"818.877,21";"1.897.386,07";"1.693.842,60";"0,00";
"12/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 61.242,60";"1.171.287,31";"1.316.912,86";"0,00";
"11/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"322.823,95";"1.671.464,68";"1.404.210,61";"0,00";
"07/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.396.888,55";"2.213.135,12";"2.369.881,81";"0,00";
"03/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"137.839,76";"925.324,97";"932.502,16";"51.560,78";
"08/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"559.472,78";"1.394.979,35";"1.222.621,58";"0,00";
"02/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"182.252,44";"1.082.481,10";"1.087.973,49";"25.243,82";
"04/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"3.251.096,13";"1.326.030,43";"1.299.854,66";"0,00";
"09/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"643.830,58";"1.862.922,96";"2.080.480,38";"0,00";
"10/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.123.826,16";"1.972.826,13";"1.955.151,99";"0,00";
"05/2022";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"474.504,59";"1.340.508,37";"1.368.623,19";"0,00";
"01/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"10.213.202,35";"234.223,36";"65.307,60";"1.422.146,61";
"12/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"2.801.230,69";"4.880.851,40";"5.058.178,31";"16.038,75";
"11/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"2.976.271,07";"2.648.924,81";"1.961.196,49";"59.700,09";
"10/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"163.235,85";"1.544.506,50";"2.063.370,75";"133.822,83";
"06/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"2.627.049,21";"1.344.927,93";"1.770.451,81";"888.451,79";
"07/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"166.539,39";"2.143.162,69";"1.925.716,84";"155.235,85";
"09/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"498.495,32";"2.157.531,64";"1.945.015,43";"1.113.039,45";
"05/2022";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"1.295.102,79";"2.619.472,53";"2.182.276,77";"54.619,28";
