"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"19.360.784,57";"15.452.907,61";"15.493.321,60";"686.035,79";
"02/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"4.481.966,79";"12.266.765,08";"12.198.388,11";"1.237.616,39";
"06/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"21.565.167,09";"21.130.474,75";"21.156.935,39";"23.495,36";
"12/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 2.238.166,59";"7.523.305,03";"5.613.810,81";"0,00";
"07/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"9.025.850,11";"15.453.734,79";"15.127.638,21";"14.993,46";
"05/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"- 3.107.539,40";"15.253.379,96";"15.253.379,96";"92.257,16";
"01/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"99.480.748,68";"11.329.055,30";"11.329.055,30";"3.223.915,41";
"08/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"10.222.783,05";"14.222.386,45";"14.406.990,37";"1.162.024,04";
"10/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"9.040.098,04";"17.715.534,49";"17.647.409,78";"7.444,42";
"11/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"11.173.595,78";"19.752.051,51";"19.800.595,68";"0,00";
"04/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"4.358.984,35";"13.369.720,81";"13.369.540,43";"4.830,00";
"09/2018";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"12.025.341,86";"13.164.072,98";"13.287.284,90";"39,30";
"02/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"12.551,35";"99.937,53";"99.937,53";"1.089,20";
"09/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"305.000,00";"69.022,87";"69.022,87";"0,00";
"01/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.549.911,00";"45.088,98";"45.088,98";"136.568,52";
"08/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"0,00";"152.403,23";"152.403,23";"0,00";
"06/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"3.000,00";"127.546,64";"127.546,64";"0,00";
"04/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"0,00";"96.606,95";"96.606,95";"0,00";
"07/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"126.277,14";"173.533,24";"173.533,24";"0,00";
"03/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"0,00";"147.523,65";"147.523,65";"0,00";
"12/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 572.892,42";"168.732,10";"129.985,34";"0,00";
"11/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"154.286,83";"107.202,43";"107.202,43";"0,00";
"05/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"1.192,00";"84.775,01";"84.775,01";"0,00";
"10/2018";"20000 - Presidência da República";"60000 - Gabinete da Vice-Presidência da República";"- 32.716,24";"173.542,79";"173.542,79";"0,00";
"07/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"- 162.490,61";"2.122.027,24";"2.118.918,12";"53.545,80";
"01/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"6.476.392,93";"239.506,01";"239.506,01";"1.261.286,94";
"04/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"493.619,11";"1.700.193,56";"1.700.193,56";"769.915,84";
"11/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"400.211,42";"2.213.408,84";"2.213.408,84";"96.981,58";
"08/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"538.233,85";"1.497.795,58";"1.500.904,70";"20.671,73";
"02/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"494.751,82";"975.969,20";"975.969,20";"996.181,15";
"06/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"232.712,64";"1.347.733,38";"1.347.733,38";"596.800,00";
"05/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"282.352,15";"1.558.233,95";"1.558.233,95";"384.653,33";
"12/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"3.575.423,88";"2.389.963,14";"1.975.558,04";"19.619,16";
"03/2018";"20000 - Presidência da República";"24208 - Instituto Nacional de Tecnologia da Informação";"7.934.397,00";"1.360.180,30";"1.360.180,30";"495.420,70";
